t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,internet,queued_alerts,delivered_alerts,physical_p,physical_m,physical_u
0.0,0,0,0,0,0,0,0,0,0.761812684847983,3.0030024997660107,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0.761812684847983,3.0160036471985388,3.0160036471985388,0.0,0.0,0,1,1,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0.8336775384865724,2.9851573105127507,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0.1982889792345837,2.995168925070428,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0.41705176935051275,2.9953873423440847,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0.3024901546830307,2.996762400310845,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0.6348707164811481,3.0216005320344035,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0.34245999973034397,2.9844629515498187,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0.555548958118267,2.9994105234005803,2.996762400310845,0.0,0.0,0,1,1,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0.301633626485189,3.0035716778412467,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0.24418118823151486,2.993549920237225,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0.4075960326532085,3.03499767743035,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0.4196706222542996,3.006090861525497,3.0035716778412467,0.0,0.0,0,1,1,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0.48838134525879306,2.9854011911450065,3.0035716778412467,0.0,0.0,0,1,1,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0,0.8928634210850056,2.979570414666967,2.993549920237225,0.0,0.0,0,1,1,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0.6118922615347023,2.9728018544521535,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0,0.4946721691437328,2.989034621160964,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0,0.6911247814103778,2.9946957538861705,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.8,0,0,0,0,0,0,0,0,0.7450557003472371,3.0136496793634517,2.989034621160964,0.0,0.0,0,1,1,0,0,0,0,0
1.9,0,0,0,0,0,0,0,0,0.6912693447905843,3.0208197065780786,2.9946957538861705,0.0,0.0,0,1,1,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0.6234263608874078,2.9885160551108245,2.9946957538861705,0.0,0.0,0,1,1,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0.1999505500741634,2.9948766912630416,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0.3958269094721933,2.982630402165536,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.3,0,0,0,0,0,0,0,0,0.6811400672564287,2.9969904968794294,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.4,0,0,0,0,0,0,0,0,0.43671471134522183,2.9731660337527135,2.9885160551108245,0.0,0.0,0,1,1,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0.43950681024643445,2.995208228767895,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0,0.2400803462247321,2.9721547908718917,2.982630402165536,0.0,0.0,0,1,1,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,1.0397875066550246,2.988118261598656,2.988118261598656,0.0,0.0,0,1,1,0,0,0,0,0
2.8,0,0,0,0,0,0,0,0,1.1974208021999948,2.9954253885102413,2.988118261598656,0.0,0.0,0,1,1,0,0,0,0,0
2.9,0,0,0,0,0,0,0,0,0.721386949889796,3.009750456441761,2.995208228767895,0.0,0.0,0,1,1,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0.3193574526539998,3.0000535978243144,2.9954253885102413,0.0,0.0,0,1,1,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0.7047330958662448,2.9945710120678397,2.9954253885102413,0.0,0.0,0,1,1,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0.7142623033612007,3.0171015398697567,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0.5104374547383891,2.98309268161578,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,0.5893576738836996,3.015265670087973,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0.3715577115522663,2.977455826216842,2.9945710120678397,0.0,0.0,0,1,1,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0.6379112054734543,2.986918655831048,2.986918655831048,0.0,0.0,0,1,1,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0.24488952051237667,3.0029471724488133,2.986918655831048,0.0,0.0,0,1,1,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0.8522655509145785,3.0350476282110934,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0.21241312864123651,3.0044686234823113,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0.3156625032611103,2.9874401881632626,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0.2819497180581361,3.0092834443988012,3.0044686234823113,0.0,0.0,0,1,1,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0.3607901216405767,3.018183671722043,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0.28199089772835095,2.983957492674628,3.0044686234823113,0.0,0.0,0,1,1,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0.9725109324914257,3.0148391787673168,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0.2769053098839506,2.9497663894901742,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0.41918201024278195,2.9834526365501626,2.983957492674628,0.0,0.0,0,1,1,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0.6269377449829588,2.993032991758009,2.983957492674628,0.0,0.0,0,1,1,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0.23404661048707673,3.0077259741244116,2.993032991758009,0.0,0.0,0,1,1,0,0,0,0,0
4.9,0,0,0,0,0,0,0,0,0.19863576647384656,3.025708657343512,2.993032991758009,0.0,0.0,0,1,1,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0.22277712477929185,3.0264180815811943,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0.44448739973657053,2.987502482243777,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0.5410287878575395,2.9762846376853935,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.3,0,0,0,0,0,0,0,0,0.4278561969007204,2.9427133842067326,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.4,0,0,0,0,0,0,0,0,0.7420369151099145,3.0183462908296725,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0.5790309077667358,3.0300182344518833,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.6,0,0,0,0,0,0,0,0,0.5761943780632177,2.9584444004285952,2.9762846376853935,0.0,0.0,0,1,1,0,0,0,0,0
5.7,0,0,0,0,0,0,0,0,0.319783027263555,2.965157149127101,2.965157149127101,0.0,0.0,0,1,1,0,0,0,0,0
5.8,0,0,0,0,0,0,0,0,0.2365721749756734,2.9838699509428968,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
5.9,0,0,0,0,0,0,0,0,0.6217156513379463,2.9989103931695786,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0.7685913882600334,3.027187666124831,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0.4670612946783447,3.0060536459848968,2.9989103931695786,0.0,0.0,0,1,1,0,0,0,0,0
6.2,0,0,0,0,0,0,0,0,1.1518376170932845,2.9767975214199147,2.9989103931695786,0.0,0.0,0,1,1,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0.470848427164454,3.012675619207614,3.0060536459848968,0.0,0.0,0,1,1,0,0,0,0,0
6.4,0,0,0,0,0,0,0,0,0.5540201295493278,3.0274659701237545,3.012675619207614,0.0,0.0,0,1,1,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0.35541169763964026,3.003395945901959,3.0060536459848968,0.0,0.0,0,1,1,0,0,0,0,0
6.6,0,0,0,0,0,0,0,0,0.9640058198527346,2.9850733292501057,3.003395945901959,0.0,0.0,0,1,1,0,0,0,0,0
6.7,0,0,0,0,0,0,0,0,0.44073730572404374,2.9761174895103184,3.003395945901959,0.0,0.0,0,1,1,0,0,0,0,0
6.8,0,0,0,0,0,0,0,0,0.4708529144826864,2.984021697062378,2.9850733292501057,0.0,0.0,0,1,1,0,0,0,0,0
6.9,0,0,0,0,0,0,0,0,0.4962021200037924,2.9737351629364834,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0.8095036822975447,2.995424233110415,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.1,0,0,0,0,0,0,0,0,0.31536128901941163,2.996321785274254,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.2,0,0,0,0,0,0,0,0,0.4953923704745801,2.993387756417457,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.3,0,0,0,0,0,0,0,0,0.507554161672963,2.975767106973828,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.4,0,0,0,0,0,0,0,0,0.5679836441554721,2.9918135992768877,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0.45590748181831586,3.0095693697400088,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
